sample,label
GSM372286,healthy
GSM372287,healthy
GSM372288,healthy
GSM372289,healthy
GSM372290,healthy
GSM372291,healthy
GSM372292,healthy
GSM372293,healthy
GSM372294,healthy
GSM372295,healthy
GSM372296,healthy
GSM372297,healthy
GSM372298,healthy
GSM372299,healthy
GSM372300,healthy
GSM372301,healthy
GSM372302,healthy
GSM372303,healthy
GSM372304,healthy
GSM372305,healthy
GSM372306,healthy
GSM372307,unknown
GSM372308,unknown
GSM372309,unknown
GSM372310,unknown
GSM372311,unknown
GSM372312,unknown
GSM372313,unknown
GSM372314,unknown
GSM372315,disease
GSM372316,unknown
GSM372317,unknown
GSM372318,disease
GSM372319,unknown
GSM372320,unknown
GSM372321,unknown
GSM372322,unknown
GSM372323,unknown
GSM372324,unknown
GSM372325,unknown
GSM372326,unknown
GSM372327,unknown
GSM372328,unknown
GSM372329,unknown
GSM372330,unknown
GSM372331,unknown
GSM372332,disease
GSM372333,disease
GSM372334,disease
GSM372335,unknown
GSM372336,unknown
GSM372337,unknown
GSM372338,unknown
GSM372339,unknown
GSM372340,unknown
GSM372341,unknown
GSM372342,disease
GSM372343,unknown
GSM372344,disease
GSM372345,disease
GSM372346,disease
GSM372347,disease
GSM372348,disease
GSM372349,unknown
GSM372350,unknown
GSM372351,unknown
GSM372352,unknown
GSM372353,unknown
GSM372354,unknown
GSM372355,unknown
GSM372356,unknown
GSM372357,unknown
GSM372358,unknown
GSM372359,unknown
GSM372360,unknown
GSM372361,unknown
GSM372362,unknown
GSM372363,unknown
GSM372364,unknown
GSM372365,unknown
GSM372366,unknown
GSM372367,unknown
